,avg,cidade
commercial_electric_use,228670,Richmond - CA
industrial_electric_use,129504,Richmond - CA
residential_electric_use,265238,Richmond - CA
commercial_gas_use,3012469,Richmond - VA
industrial_gas_use,1669659,Richmond - VA
residential_gas_use,4416766,Richmond - VA
commercial_electric_use,1160395,Richmond - VA
industrial_electric_use,397414,Richmond - VA
residential_electric_use,1165572,Richmond - VA
commercial_gas_use,1382236,Riverside - CA
industrial_gas_use,4120042,Riverside - CA
residential_gas_use,2827733,Riverside - CA
commercial_electric_use,847864,Riverside - CA
industrial_electric_use,589612,Riverside - CA
residential_electric_use,893635,Riverside - CA
commercial_gas_use,704485,Roanoke - VA
industrial_gas_use,820192,Roanoke - VA
residential_gas_use,1334090,Roanoke - VA
commercial_electric_use,320630,Roanoke - VA
industrial_electric_use,181170,Roanoke - VA
residential_electric_use,337670,Roanoke - VA
commercial_gas_use,1382236,Sacramento - CA
industrial_gas_use,4120042,Sacramento - CA
residential_gas_use,2827733,Sacramento - CA
commercial_electric_use,847864,Sacramento - CA
industrial_electric_use,589612,Sacramento - CA
residential_electric_use,893635,Sacramento - CA
commercial_gas_use,377879,Salinas - CA
industrial_gas_use,1340046,Salinas - CA
residential_gas_use,957609,Salinas - CA
commercial_electric_use,228670,Salinas - CA
industrial_electric_use,129504,Salinas - CA
residential_electric_use,265238,Salinas - CA
commercial_gas_use,377879,San Angelo - TX
industrial_gas_use,1340046,San Angelo - TX
residential_gas_use,957609,San Angelo - TX
commercial_electric_use,228670,San Angelo - TX
industrial_electric_use,129504,San Angelo - TX
residential_electric_use,265238,San Angelo - TX
commercial_gas_use,6131349,San Antonio - TX
industrial_gas_use,23271668,San Antonio - TX
residential_gas_use,6222489,San Antonio - TX
commercial_electric_use,4858061,San Antonio - TX
industrial_electric_use,3372297,San Antonio - TX
residential_electric_use,5726433,San Antonio - TX
commercial_gas_use,1382236,Santa Ana - CA
industrial_gas_use,4120042,Santa Ana - CA
residential_gas_use,2827733,Santa Ana - CA
commercial_electric_use,847864,Santa Ana - CA
industrial_electric_use,589612,Santa Ana - CA
residential_electric_use,893635,Santa Ana - CA
commercial_gas_use,377879,Santa Maria - CA
industrial_gas_use,1340046,Santa Maria - CA
residential_gas_use,957609,Santa Maria - CA
commercial_electric_use,228670,Santa Maria - CA
industrial_electric_use,129504,Santa Maria - CA
residential_electric_use,265238,Santa Maria - CA
commercial_gas_use,342640,Savannah - GA
industrial_gas_use,933645,Savannah - GA
residential_gas_use,325898,Savannah - GA
commercial_electric_use,341328,Savannah - GA
industrial_electric_use,164524,Savannah - GA
residential_electric_use,440751,Savannah - GA
commercial_gas_use,924926,Schenectady - NY
industrial_gas_use,1172164,Schenectady - NY
residential_gas_use,1982889,Schenectady - NY
commercial_electric_use,253981,Schenectady - NY
industrial_electric_use,181742,Schenectady - NY
residential_electric_use,245777,Schenectady - NY
commercial_gas_use,924926,Scranton - PA
industrial_gas_use,1172164,Scranton - PA
residential_gas_use,1982889,Scranton - PA
commercial_electric_use,253981,Scranton - PA
industrial_electric_use,181742,Scranton - PA
residential_electric_use,245777,Scranton - PA
commercial_gas_use,377879,South Gate - CA
industrial_gas_use,1340046,South Gate - CA
residential_gas_use,957609,South Gate - CA
commercial_electric_use,228670,South Gate - CA
industrial_electric_use,129504,South Gate - CA
residential_electric_use,265238,South Gate - CA
commercial_gas_use,924926,Southfield - MI
industrial_gas_use,1172164,Southfield - MI
residential_gas_use,1982889,Southfield - MI
commercial_electric_use,253981,Southfield - MI
industrial_electric_use,181742,Southfield - MI
residential_electric_use,245777,Southfield - MI
commercial_gas_use,924926,Sparks - NV
industrial_gas_use,1172164,Sparks - NV
residential_gas_use,1982889,Sparks - NV
commercial_electric_use,253981,Sparks - NV
industrial_electric_use,181742,Sparks - NV
residential_electric_use,245777,Sparks - NV
commercial_gas_use,3197861,Spokane - WA
industrial_gas_use,2435684,Spokane - WA
residential_gas_use,6482352,Spokane - WA
commercial_electric_use,857758,Spokane - WA
industrial_electric_use,531222,Spokane - WA
residential_electric_use,853235,Spokane - WA
commercial_gas_use,704485,Springdale - AR
industrial_gas_use,820192,Springdale - AR
residential_gas_use,1334090,Springdale - AR
commercial_electric_use,320630,Springdale - AR
industrial_electric_use,181170,Springdale - AR
residential_electric_use,337670,Springdale - AR
commercial_gas_use,924926,Springfield - IL
industrial_gas_use,1172164,Springfield - IL
residential_gas_use,1982889,Springfield - IL
commercial_electric_use,253981,Springfield - IL
industrial_electric_use,181742,Springfield - IL
residential_electric_use,245777,Springfield - IL
commercial_gas_use,924926,St. Joseph - MO
industrial_gas_use,1172164,St. Joseph - MO
residential_gas_use,1982889,St. Joseph - MO
commercial_electric_use,253981,St. Joseph - MO
industrial_electric_use,181742,St. Joseph - MO
residential_electric_use,245777,St. Joseph - MO
commercial_gas_use,6273177,St. Paul - MN
industrial_gas_use,3416487,St. Paul - MN
residential_gas_use,7167855,St. Paul - MN
commercial_electric_use,1225440,St. Paul - MN
industrial_electric_use,434283,St. Paul - MN
residential_electric_use,810221,St. Paul - MN
commercial_gas_use,1200691,St. Petersburg - FL
industrial_gas_use,2627386,St. Petersburg - FL
residential_gas_use,1022314,St. Petersburg - FL
commercial_electric_use,1149983,St. Petersburg - FL
industrial_electric_use,350724,St. Petersburg - FL
residential_electric_use,1373293,St. Petersburg - FL
commercial_gas_use,3012469,Tacoma - WA
industrial_gas_use,1669659,Tacoma - WA
residential_gas_use,4416766,Tacoma - WA
commercial_electric_use,1160395,Tacoma - WA
industrial_electric_use,397414,Tacoma - WA
residential_electric_use,1165572,Tacoma - WA
commercial_gas_use,1200691,Tallahassee - FL
industrial_gas_use,2627386,Tallahassee - FL
residential_gas_use,1022314,Tallahassee - FL
commercial_electric_use,1149983,Tallahassee - FL
industrial_electric_use,350724,Tallahassee - FL
residential_electric_use,1373293,Tallahassee - FL
commercial_gas_use,1200691,Tampa - FL
industrial_gas_use,2627386,Tampa - FL
residential_gas_use,1022314,Tampa - FL
commercial_electric_use,1149983,Tampa - FL
industrial_electric_use,350724,Tampa - FL
residential_electric_use,1373293,Tampa - FL
commercial_gas_use,704485,Topeka - KS
industrial_gas_use,820192,Topeka - KS
residential_gas_use,1334090,Topeka - KS
commercial_electric_use,320630,Topeka - KS
industrial_electric_use,181170,Topeka - KS
residential_electric_use,337670,Topeka - KS
commercial_gas_use,6131349,Tucson - AZ
industrial_gas_use,23271668,Tucson - AZ
residential_gas_use,6222489,Tucson - AZ
commercial_electric_use,4858061,Tucson - AZ
industrial_electric_use,3372297,Tucson - AZ
residential_electric_use,5726433,Tucson - AZ
commercial_gas_use,1382236,Tulsa - OK
industrial_gas_use,4120042,Tulsa - OK
residential_gas_use,2827733,Tulsa - OK
commercial_electric_use,847864,Tulsa - OK
industrial_electric_use,589612,Tulsa - OK
residential_electric_use,893635,Tulsa - OK
commercial_gas_use,377879,Turlock - CA
industrial_gas_use,1340046,Turlock - CA
residential_gas_use,957609,Turlock - CA
commercial_electric_use,228670,Turlock - CA
industrial_electric_use,129504,Turlock - CA
residential_electric_use,265238,Turlock - CA
commercial_gas_use,377879,Tuscaloosa - AL
industrial_gas_use,1340046,Tuscaloosa - AL
residential_gas_use,957609,Tuscaloosa - AL
commercial_electric_use,228670,Tuscaloosa - AL
industrial_electric_use,129504,Tuscaloosa - AL
residential_electric_use,265238,Tuscaloosa - AL
commercial_gas_use,377879,Tyler - TX
industrial_gas_use,1340046,Tyler - TX
residential_gas_use,957609,Tyler - TX
commercial_electric_use,228670,Tyler - TX
industrial_electric_use,129504,Tyler - TX
residential_electric_use,265238,Tyler - TX
commercial_gas_use,924926,Union City - NJ
industrial_gas_use,1172164,Union City - NJ
residential_gas_use,1982889,Union City - NJ
commercial_electric_use,253981,Union City - NJ
industrial_electric_use,181742,Union City - NJ
residential_electric_use,245777,Union City - NJ
commercial_gas_use,377879,Vallejo - CA
industrial_gas_use,1340046,Vallejo - CA
residential_gas_use,957609,Vallejo - CA
commercial_electric_use,228670,Vallejo - CA
industrial_electric_use,129504,Vallejo - CA
residential_electric_use,265238,Vallejo - CA
commercial_gas_use,377879,Victorville - CA
industrial_gas_use,1340046,Victorville - CA
residential_gas_use,957609,Victorville - CA
commercial_electric_use,228670,Victorville - CA
industrial_electric_use,129504,Victorville - CA
residential_electric_use,265238,Victorville - CA
commercial_gas_use,377879,Visalia - CA
industrial_gas_use,1340046,Visalia - CA
residential_gas_use,957609,Visalia - CA
commercial_electric_use,228670,Visalia - CA
industrial_electric_use,129504,Visalia - CA
residential_electric_use,265238,Visalia - CA
commercial_gas_use,342640,Waco - TX
industrial_gas_use,933645,Waco - TX
residential_gas_use,325898,Waco - TX
commercial_electric_use,341328,Waco - TX
industrial_electric_use,164524,Waco - TX
residential_electric_use,440751,Waco - TX
commercial_gas_use,377879,Warner Robins - GA
industrial_gas_use,1340046,Warner Robins - GA
residential_gas_use,957609,Warner Robins - GA
commercial_electric_use,228670,Warner Robins - GA
industrial_electric_use,129504,Warner Robins - GA
residential_electric_use,265238,Warner Robins - GA
commercial_gas_use,924926,Warren - MI
industrial_gas_use,1172164,Warren - MI
residential_gas_use,1982889,Warren - MI
commercial_electric_use,253981,Warren - MI
industrial_electric_use,181742,Warren - MI
residential_electric_use,245777,Warren - MI
commercial_gas_use,17312331,Washington - DC
industrial_gas_use,4250336,Washington - DC
residential_gas_use,28816271,Washington - DC
commercial_electric_use,5195271,Washington - DC
industrial_electric_use,1000494,Washington - DC
residential_electric_use,3736932,Washington - DC
commercial_gas_use,991913,Waterloo - IA
industrial_gas_use,1063292,Waterloo - IA
residential_gas_use,1716997,Waterloo - IA
commercial_electric_use,252041,Waterloo - IA
industrial_electric_use,211960,Waterloo - IA
residential_electric_use,227391,Waterloo - IA
commercial_gas_use,924926,Waukegan - IL
industrial_gas_use,1172164,Waukegan - IL
residential_gas_use,1982889,Waukegan - IL
commercial_electric_use,253981,Waukegan - IL
industrial_electric_use,181742,Waukegan - IL
residential_electric_use,245777,Waukegan - IL
commercial_gas_use,342640,West Palm Beach - FL
industrial_gas_use,933645,West Palm Beach - FL
residential_gas_use,325898,West Palm Beach - FL
commercial_electric_use,341328,West Palm Beach - FL
industrial_electric_use,164524,West Palm Beach - FL
residential_electric_use,440751,West Palm Beach - FL
commercial_gas_use,924926,Westland - MI
industrial_gas_use,1172164,Westland - MI
residential_gas_use,1982889,Westland - MI
commercial_electric_use,253981,Westland - MI
industrial_electric_use,181742,Westland - MI
residential_electric_use,245777,Westland - MI
commercial_gas_use,377879,Whittier - CA
industrial_gas_use,1340046,Whittier - CA
residential_gas_use,957609,Whittier - CA
commercial_electric_use,228670,Whittier - CA
industrial_electric_use,129504,Whittier - CA
residential_electric_use,265238,Whittier - CA
commercial_gas_use,3012469,Wichita - KS
industrial_gas_use,1669659,Wichita - KS
residential_gas_use,4416766,Wichita - KS
commercial_electric_use,1160395,Wichita - KS
industrial_electric_use,397414,Wichita - KS
residential_electric_use,1165572,Wichita - KS
commercial_gas_use,377879,Wichita Falls - TX
industrial_gas_use,1340046,Wichita Falls - TX
residential_gas_use,957609,Wichita Falls - TX
commercial_electric_use,228670,Wichita Falls - TX
industrial_electric_use,129504,Wichita Falls - TX
residential_electric_use,265238,Wichita Falls - TX
commercial_gas_use,377879,Wilmington - NC
industrial_gas_use,1340046,Wilmington - NC
residential_gas_use,957609,Wilmington - NC
commercial_electric_use,228670,Wilmington - NC
industrial_electric_use,129504,Wilmington - NC
residential_electric_use,265238,Wilmington - NC
commercial_gas_use,3012469,Winston-Salem - NC
industrial_gas_use,1669659,Winston-Salem - NC
residential_gas_use,4416766,Winston-Salem - NC
commercial_electric_use,1160395,Winston-Salem - NC
industrial_electric_use,397414,Winston-Salem - NC
residential_electric_use,1165572,Winston-Salem - NC
commercial_gas_use,3197861,Worcester - MA
industrial_gas_use,2435684,Worcester - MA
residential_gas_use,6482352,Worcester - MA
commercial_electric_use,857758,Worcester - MA
industrial_electric_use,531222,Worcester - MA
residential_electric_use,853235,Worcester - MA
commercial_gas_use,924926,Wyoming - MI
industrial_gas_use,1172164,Wyoming - MI
residential_gas_use,1982889,Wyoming - MI
commercial_electric_use,253981,Wyoming - MI
industrial_electric_use,181742,Wyoming - MI
residential_electric_use,245777,Wyoming - MI
commercial_gas_use,924926,Yakima - WA
industrial_gas_use,1172164,Yakima - WA
residential_gas_use,1982889,Yakima - WA
commercial_electric_use,253981,Yakima - WA
industrial_electric_use,181742,Yakima - WA
residential_electric_use,245777,Yakima - WA
commercial_gas_use,342640,Yuma - AZ
industrial_gas_use,933645,Yuma - AZ
residential_gas_use,325898,Yuma - AZ
commercial_electric_use,341328,Yuma - AZ
industrial_electric_use,164524,Yuma - AZ
residential_electric_use,440751,Yuma - AZ
commercial_gas_use,11474921,Detroit - MI
industrial_gas_use,11386552,Detroit - MI
residential_gas_use,31524776,Detroit - MI
commercial_electric_use,2986489,Detroit - MI
industrial_electric_use,2240008,Detroit - MI
residential_electric_use,3281191,Detroit - MI
commercial_gas_use,924926,Flint - MI
industrial_gas_use,1172164,Flint - MI
residential_gas_use,1982889,Flint - MI
commercial_electric_use,253981,Flint - MI
industrial_electric_use,181742,Flint - MI
residential_electric_use,245777,Flint - MI
commercial_gas_use,924926,Gary - IN
industrial_gas_use,1172164,Gary - IN
residential_gas_use,1982889,Gary - IN
commercial_electric_use,253981,Gary - IN
industrial_electric_use,181742,Gary - IN
residential_electric_use,245777,Gary - IN
